message_id,sender_id,message_text,channel
e6c9e4e5-0686-444b-af06-7fbb2ccffcc8,-1001102021238,"👇👇👇👇👇👇 https://youtu.be/-AR1KO2DbFw?si=47cXLZtlmhx1Nlqc  
**
ዶክተርስ ኢትዮጽያ በአዲስ ፕሮገራም ጀመረ**

ማረጥ  (**ሜኖፖዝ ) ጋር ተያይዞ የሚመጣ ሴቶች ላይ የሚከሰት የጤና ችግሮች**

**ሴቶች ላይ የሚከሰት የ ግብረስጋ ግንኙነት ስሜት መቀነስ ?**


**የሴቶች የወር አበባ ግዜ እና ሌሎችም ጉዳዮች ተነስተዋል አሁኑኑ ይመልከቱ !!
**

**ከ ቴሌቪዥን ፕሮግራሞቻችን በተጨማሪ አዲስ በልዩ አቀራረብ ይበልጥ የናንተን የተመልካች ጥያቄ ለመመለስ **

ይህን የመሰለ ፕሮግራም ይዘን መተናል 


የጤና ጥያቄዎን ለመላክ @doctorsEt 


https://youtu.be/-AR1KO2DbFw?si=47cXLZtlmhx1Nlqc",DoctorsET
ca32e808-5e1b-45ac-be71-18c90cb19563,-1001102021238,"Ethiopian Medical Association's 58th Medical Conference is slated to be held on Friday, April 15, 2022, and Saturday April 16,2022. 

We cordially invite any interested health professionals to attend the conference virtually using the link below. 

https://www.ethiopianmedicalass.org/58th-amc-registration/ 

#annualmedicalconference #ema #58th #paneldiscussions #scientific sessions #abstracts",DoctorsET
a88943fc-63a1-4f76-bd80-d0ffdb7d9f6f,-1001102021238,"ዛሬ ምሽት 3:30 በ ዶክተርስ ኢትዮጵያ ፋና ቴሌቪዥን 

ብዙ ግዜ አንድ አይኔ ብቻ መጠኑ አነስ ይላል መንስኤው ምንድነው ?

ከ ማይግሬን ህመም ሙሉ በ ሙሉ መዳን ይቻላል ወይ? 

ሌሎች ጉዳዮችም ይነሳሉ ! በ ፋና ቴሌቪዥን ካርድ ሳያወጡ ባሉበት ቦታ ሆነው ይታከሙ!

Doctors Ethiopia 
Meba Entertainment 
Dahlak studio",DoctorsET
abd5e805-615e-4b15-b435-25e465cc698b,-1001102021238,"ዛሬ ምሽት በ ዶክተርስ ኢትዮጵያ ፋና ቴሌቪዥን 

በ እግር ሽታ ተቸግረዋል ወይንም በ ትራንስፖርት መስጫ አካባቢዎች ላይ በዚህ ሽታ ተማረዋል!

ዛሬ ምሽት በቀላሉ በቤት ውስጥ ልንተገብራቸው የምንችለው ቀላል መንገዶችን ይመልከቱ


በተጨማሪም አዲሱ የ ኮሮና ቫይረስ ዴልታ ቫርያንት ምን ያቃሉ ?

በ ሚሊኒየም አዳራሽ  ኮቪድ ማገገሚያ ማእከል ውስጥ የታማሚዎች ቁጥር  ከበፊቱ ጨምሯል 
ዶ/ር ሊዲያ በ ሚሊኒየም አዳራሽ የ ኮቪድ ማገገሚያ ማእከል ሃኪም ምትለን ነገር አለን!

እና ሌሎችም ርእሶች ይነሳሉ!  ዛሬ አርብ ምሽት 3:30 ይመልከቱ

Doctors Ethiopia 
Meba Entertainment ©


**እንዲሁም ምሽት 3:20 ላይ በ ዮቲውብ ይመልከቱ**

subscribe us on YouTube!",DoctorsET
14228f9d-20dd-48b4-8f45-dd6ed909a96c,-1001102021238,"ነገ አርብ ምሽት 3:25 በ ፋና ቴሌቪዥን 

**ከ ልዮ ፕሮግራሞቻችን ጋር ይጠብቁን**

በ ሶሻል ሚዲያ ከተላኩልን ጥያቄዎች 

**ሰላም ዶክተርስ ከ ኢትዮጵያ ውጭ ለትምህርት ወጥቻለው አሁን ላይ በ ድባቴ(Depression) በጣም ተቸግሬአለሁ ያለሁበት ቦታ ለህክምና አይመችም እባካችሁ እርዱኝ!**

ዶ/ር ሰላም የ ስነ አምሮ ስፔሻሊስት ሃኪም ስለ ዲፕሬሽን ነገ ምሽት መልስ ትሰጠናለች

እንዲሁም ሌሎች ርዕሰ ጉዳዮች ይነሳሉ እንዳያመልጦ! 

አርብ ሞሽት 3:25 በ ፋና ቴሌቪዥን 

Sponsor of Doctors Ethiopia 

**ዘመን ባንክ**
**ለ ሃገር ሱቱዲዮ**",DoctorsET
e90b767e-7e48-4bc0-aece-5aa28ad7ccc6,-1001102021238,"ዛሬ ምሽት 3:25 በ ፋና ቴሌቪዥን ልዮ ልዮ የ ዶክተርስ ኢትዮጵያ ፕሮግራሞች 

** የብዙ ሰው ጥያቄ የሆነው ፊት እና ደረት  ላይ የሚወጡ  ቡግር መንስኤዎች ምንድን ናቸው መፍትሔውስ ምንድነው**

#መጥፎ የ አፍ ጠረን ተቸግረዋል? **እንግዲያውስ ዛሬ ምሽት መልሱን ያገኛሉ የ አፍ ጠረንን እምናሶግድበት መንገዶችን ይወቁ**


ሌሎች አዝናኝ እና ቁም ነገር አዘል ፕሮግራሞቻችንን ይመልከቱ

sponsor of Doctors Ethiopia 

**Zemen Bank**
**Le Hager studio**",DoctorsET
1833f55b-0b6f-477c-bc56-47c028a60396,-1001102021238,"**ውድ የዶክተርስ ኢትዮጵያ ቤተሰቦች ከዚህ ቀደም እንዳረግነው ያሎትን ማንኛውንም አይነት ጥያቄ ፈጥነው ይላኩልን**

የናንተን ጥያቄ ለመመለስ በ መባ ኢንተርቴይመንት ተዘጋጅቶ በ ፋና ቴሌቪዥን ዘወትር አርብ ምሽት በሚቀርበው ፕሮግራሞቻችን ላይ **በ ሀገራችን ከፍተኛ ልምድ ባላቸው ስፔሻሊስት ሃኪሞች መልስ ያገኛሉ**

**አሁኑኑ ይላኩልን**
👇👇👇👇👇👇👇
@DoctorsEthiopia 

ተጭነው መላክ ይችላሉ

ወይንም በ ፌስ ቡክ / ቴሌግራም/ እና ዮቲውብ አካውንታችን ጥያቄዎን ይላኩልን
      **Doctors Ethiopia**

     **Meba Entertainment**",DoctorsET
8fe097bb-cb59-4254-8216-f4f04c57b284,-1001102021238,"የ ዶክተርስ ኢትዮጵያ ፕሮግራም የቀረፃ ቦታ ስፖንሰር ያረገልን **ለሀገር ፎቶ ስቱዲዮ** ከልብ እናመሰግናለን 

**የሚያምሩ እና ለቀረፃ ምቹ የሆኑ ቦታዎች**

ለማንኛውም የ ፎቶ እና ቪዲዮ ሱቱዲዮ ሲፈልጉ የመጀመሪያ ምርጫዎ **ለሀገር ሱቱዲዮ**

አድራሻ 
#ኢምፔሪያል

#አልፎዝ ህንፃ 3ተኛ ፎቅ ላይ ለበለጠ መረጃ እና ምዝገባ  በምስሉ ላይ በምትመለከቱት ቁጥር ይደውሉልን ወይም በ 09 47 74 60 70 መረጃዎችን መውሰድ ይችላሉ 

**Get Your Bookings Now**
👇   👇      👇         👇         👇  
09 34 56 00 00 / 09 34 56 00 56

**sponsor of Doctors Ethiopia Fana Television**",DoctorsET
6fabc2e6-0aea-41e6-8648-0dde7ecff16a,-1001102021238,"**ስንፈተ ወሲብ እንዴት ይከሰታል**
 ሴቶች ላይ የሚከሰት የ ፔሬድ ህመም እና ቀን 
     መዛባት / ኮሮና ቫይረስ እና ሌሎችም 

ዶክተርስ ኢትዮጵያ ዘወትር አርብ ምሽት **3:25** በ     ፋና ቴለቪዥን
እንገናኝ 

#Meba_Entertainment
#Doctors_Ethiopia 
#kestadema_Foam
#Le_Hager_Studio",DoctorsET
27767e08-08b3-4d4b-9f1d-ec844b96ae08,-1001102021238,"ዛሬ ምሽት 3:25 በ ፋና ቴሌቪዥን በ ልዮ አቀራረብ ዶክተርስ ኢትዮጵያ ወደ እናንተ ይደርሳል

** የፊት መውረድ ወይም ቅርፅ መቀየር መንስኤዎች እንዲሁም ከ 40 አመት በላይ ያሉ ሰዎች በ ከፍተኛ ሁኔታ ተጋላጨ የሆኑበት የ ግላኮማ በሽታ ምንድነው እና ሌሎችም**

እንዳያመልጦ ** በ ዮቲውብ ዶክተርስ ኢትዮጵያ ቻናል ሙሉ ቪዲዮውን ያገኙታል**

#YouTube

#DoctorsEthiopia 

**Keste Damena**
**Grace LED Advertising**
**Ethiopian skylight Hotel**",DoctorsET
921b5ada-2608-429c-b8c0-61cf5fdca814,-1001102021238,"https://youtu.be/3Xo0VrslvhI
☝️☝️ በ ዮቲውብ ይመልከቱ

**አዲስ ለሆናችሁ የ Doctors Ethiopia ዮቲውብ ቻናላችንን ሰብስክራይብ ማድረግ አይርሱ**
👇👇👇👇👇👇
https://youtu.be/3Xo0VrslvhI",DoctorsET
b9a927a2-a979-4e89-a8cf-e41f3271f999,-1001102021238,"  ዶክተርስ ኢትዮጵያ 


**ጥያቄዎቻችሁን የላካችሁልን ሁሉም ደርሶናል 
SMS Telegram Facebook**

🛑                                               🛑

**አሁንም የመጨረሻ ጥያቄዎቻችሁን መላክ ለምትፈልጉ  በ SMS 09 42 00 33 69 / በተጨማሪ ****@DoctorsEthiopia**** ላይ መላክ ትችላላችሁ**

@DoctorsEthiopia
09 42 00 33 69/ SMS በ ፅሁፋ መልእክት ብቻ



1. የውስጥ ደዌ ስፔሻሊስት
2. የ ነርቭ ስፔሻሊስት
3. የ አይን ስፔሻሊስት 
4. ፋርማሲስት 
5. የቀዶ ህክምና 
6. የ ጥርስ ሃኪም ስፔሻሊስት
7. ሳይካትሪስት",DoctorsET
